case,model,order,nMom,L1,Linf,runtime_s,iterations,converged
CrossingBeams,HFPn,30,30,0.817528414365854,6.60934099370619,0.0006562,0,1
Gauss,HFPn,32,32,0.000406446492372623,0.00107552087035279,0.0007988,0,1
Heaviside,HFPn,32,32,0.0208761074985682,0.516131076728271,0.0006865,0,1
CrossingBeams,HFPn,32,32,0.726640136129194,6.13667774717947,0.0008684,0,1
Gauss,HFPn,34,34,0.000358199522679543,0.000943831537037365,0.0009204,0,1
Heaviside,HFPn,34,34,0.0196064365545929,0.514952388432779,0.0008753,0,1
CrossingBeams,HFPn,34,34,0.644037291872723,5.70484865150114,0.0008681,0,1
Gauss,HFPn,36,36,0.000318086660162901,0.000826845895243289,0.0009494,0,1
Heaviside,HFPn,36,36,0.0184842842889384,0.513773700137287,0.0009222,0,1
CrossingBeams,HFPn,36,36,0.569971972145577,5.30930252494012,0.0009378,0,1
Gauss,HFPn,38,38,0.000284411499828392,0.000772264998899819,0.0011604,0,1
Heaviside,HFPn,38,38,0.0174923237656054,0.512595011841795,0.0009763,0,1
CrossingBeams,HFPn,38,38,0.503812868018405,4.94256322592403,0.0009889,0,1
Gauss,HFPn,40,40,0.000255739302688876,0.00066952342392268,0.0009309,0,1
Heaviside,HFPn,40,40,0.0165865844079652,0.511416323546303,0.000849,0,1
CrossingBeams,HFPn,40,40,0.447656261099051,4.60961940897435,0.0008959,0,1
Gauss,HFPn,42,42,0.000231263581125836,0.000601105005725411,0.0009163,0,1
Heaviside,HFPn,42,42,0.0157740872578564,0.51023763525081,0.0014108,0,1
CrossingBeams,HFPn,42,42,0.40646928123516,4.303106164498,0.00097,0,1
Gauss,HFPn,44,44,0.000210101394237956,0.000555128221784051,0.0007972,0,1
Heaviside,HFPn,44,44,0.0150400527694977,0.509058946955318,0.0007429,0,1
CrossingBeams,HFPn,44,44,0.370934524734934,4.01890536231451,0.0008534,0,1
Gauss,HFPn,46,46,0.000191757889180554,0.000508545593735921,0.0007843,0,1
Heaviside,HFPn,46,46,0.0143730662847128,0.507880258659826,0.0007925,0,1
CrossingBeams,HFPn,46,46,0.339477437222664,3.75541716838904,0.0008415,0,1
Gauss,HFPn,48,48,0.000175692729891149,0.000461991596415579,0.0010269,0,1
Heaviside,HFPn,48,48,0.0137591306600831,0.506701570364334,0.0008078,0,1
CrossingBeams,HFPn,48,48,0.311268629645332,3.5116222765646,0.0009383,0,1
Gauss,HFPn,50,50,0.000161573375943576,0.000419176120990516,0.000862,0,1
Heaviside,HFPn,50,50,0.0131957374040492,0.505522882068841,0.0009012,0,1
CrossingBeams,HFPn,50,50,0.286911759798558,3.28827341534366,0.0008942,0,1
Gauss,HFPn,52,52,0.000149095149475196,0.000390097308214155,0.0012071,0,1
Heaviside,HFPn,52,52,0.0126792345480394,0.504344193773349,0.0010773,0,1
CrossingBeams,HFPn,52,52,0.264412011554311,3.08031645782244,0.0011231,0,1
Gauss,HFPn,54,54,0.000137991411593198,0.000370236346793451,0.0010194,0,1
Heaviside,HFPn,54,54,0.012196180774624,0.503165505477857,0.0010414,0,1
CrossingBeams,HFPn,54,54,0.243466403557374,2.88657581354467,0.0010143,0,1
Gauss,HFPn,56,56,0.000128121242054192,0.000340681469399362,0.0009591,0,1
Heaviside,HFPn,56,56,0.0117594322693759,0.501986817182365,0.0009904,0,1
CrossingBeams,HFPn,56,56,0.224468492567054,2.70596495765357,0.0010805,0,1
Gauss,HFPn,58,58,0.0001192512708414,0.000302178555338206,0.0010308,0,1
Heaviside,HFPn,58,58,0.0113337317104644,0.500808128886873,0.0008892,0,1
CrossingBeams,HFPn,58,58,0.209610472238109,2.53748155202206,0.0009819,0,1
Gauss,HFPn,60,60,0.000111297087619786,0.000302489784299809,0.0009641,0,1
Heaviside,HFPn,60,60,0.010965926125838,0.499629440591381,0.0009514,0,1
CrossingBeams,HFPn,60,60,0.195485653464965,2.38020210947134,0.0009574,0,1
Gauss,HFMn,2,2,0.410971678830538,0.369267931680376,0.0025178,6,1
Heaviside,HFMn,2,2,0.552625614184248,0.791626400676211,0.0005645,7,1
CrossingBeams,HFMn,2,2,1.31199353313802,17.8412411615277,0.0005863,12,1
Gauss,HFMn,4,4,0.0536914326277605,0.0950955278750709,0.0812628,7,1
Heaviside,HFMn,4,4,0.253564454488301,0.617038525637389,0.0167042,24,1
CrossingBeams,HFMn,4,4,1.60414843931087,16.0219719052698,0.0373983,12,1
Gauss,HFMn,6,6,0.0195829806931589,0.0397587872755347,0.0190663,7,1
Heaviside,HFMn,6,6,0.161376020993911,0.617320313236067,0.0985289,24,1
CrossingBeams,HFMn,6,6,1.37120999558612,14.1574193194291,0.1470281,25,1
Gauss,HFMn,8,8,0.00999990609100624,0.0208708235231915,0.0019764,7,1
Heaviside,HFMn,8,8,0.117058963841768,0.617341541406603,0.046513,24,1
CrossingBeams,HFMn,8,8,1.16081557421924,12.7255565307443,0.0140375,24,1
Gauss,HFMn,10,10,0.00604971748706825,0.0128172231892276,0.0109479,7,1
Heaviside,HFMn,10,10,0.0914538181884447,0.617343070461606,0.0651888,24,1
CrossingBeams,HFMn,10,10,0.992773573414069,14.568871765426,0.0361354,25,1
Gauss,HFMn,12,12,0.00404952750921959,0.00863979169872653,0.0275914,7,1
Heaviside,HFMn,12,12,0.0749243590206284,0.617343180252628,0.0960389,24,1
CrossingBeams,HFMn,12,12,0.86500385974976,15.2394531683616,0.0415681,25,1
Gauss,HFMn,14,14,0.00289921012215993,0.00621160962410905,0.0136282,7,1
Heaviside,HFMn,14,14,0.0634383807088131,0.61734318812492,0.0299005,24,1
CrossingBeams,HFMn,14,14,0.764964979278537,14.8236765663379,0.040497,25,1
Gauss,HFMn,16,16,0.00217759689051429,0.00462088714021724,0.0087766,7,1
Heaviside,HFMn,16,16,0.0549757203052531,0.617343188682458,0.0357164,24,1
CrossingBeams,HFMn,16,16,0.683735609580899,14.0362331023361,0.0524362,25,1
Gauss,HFMn,18,18,0.00169525878438849,0.0036259243296286,0.0013082,7,1
Heaviside,HFMn,18,18,0.0485280123821381,0.617343188716634,0.1192864,24,1
CrossingBeams,HFMn,18,18,0.614663571872391,12.9139474424343,0.3189811,24,1
Gauss,HFMn,20,20,0.0013571164103432,0.00287103018612922,0.0146574,7,1
Heaviside,HFMn,20,20,0.043421153113216,0.617343188714473,0.0368974,24,1
CrossingBeams,HFMn,20,20,0.555588498227791,11.9451942802917,0.1020249,25,1
Gauss,HFMn,22,22,0.00111089146344985,0.00234512937529274,0.0170944,7,1
Heaviside,HFMn,22,22,0.0392941470673735,0.617343188710589,0.1172645,24,1
CrossingBeams,HFMn,22,22,0.503683008397495,10.9109776660794,0.1142963,24,1
Gauss,HFMn,24,24,0.000925970889186315,0.00193871269568779,0.0173597,7,1
Heaviside,HFMn,24,24,0.0358907061599861,0.617343188707233,0.0393788,24,1
CrossingBeams,HFMn,24,24,0.458620567444925,9.94728517879711,0.167007,23,1
Gauss,HFMn,26,26,0.000783989036474332,0.00169743570537018,0.0091229,7,1
Heaviside,HFMn,26,26,0.0330881183671135,0.617343188704409,0.0110681,24,1
CrossingBeams,HFMn,26,26,0.419233378837355,9.6129037421733,0.1431263,23,1
Gauss,HFMn,28,28,0.000671996460357593,0.00145149050018967,0.012196,7,1
Heaviside,HFMn,28,28,0.0306465271064757,0.617343188702009,0.0749628,24,1
CrossingBeams,HFMn,28,28,0.383492168245128,8.5215794193483,0.1032228,23,1
Gauss,HFMn,30,30,0.000582361226076919,0.00120973782618972,0.0191924,7,1
Heaviside,HFMn,30,30,0.0284914057619115,0.617343188699945,0.0735579,24,1
CrossingBeams,HFMn,30,30,0.352184550235924,8.12644222375325,0.1322052,23,1
Gauss,HFMn,32,32,0.000509740529512217,0.0010786162365084,0.0097734,7,1
Heaviside,HFMn,32,32,0.0266823832588435,0.61734318869815,0.0804904,24,1
CrossingBeams,HFMn,32,32,0.324134155183616,7.72107188278967,0.1169647,23,1
Gauss,HFMn,34,34,0.000449840973046628,0.000952451926521714,0.0335802,7,1
Heaviside,HFMn,34,34,0.0250749587965108,0.617343188696574,0.0491085,24,1
CrossingBeams,HFMn,34,34,0.29849416848856,7.31396743075462,0.0957534,23,1
Gauss,HFMn,36,36,0.000399908867068941,0.000830315127512193,0.0185708,7,1
Heaviside,HFMn,36,36,0.0236111708453027,0.61734318869518,0.0159922,24,1
CrossingBeams,HFMn,36,36,0.275231873095056,6.91165476437692,0.0592932,23,1
Gauss,HFMn,38,38,0.000357826228754746,0.000773786818060063,0.0092804,7,1
Heaviside,HFMn,38,38,0.0224156897830091,0.617343188693939,0.0274506,24,1
CrossingBeams,HFMn,38,38,0.253752266751779,6.51890890974742,0.0872612,23,1
Gauss,HFMn,40,40,0.00032206837157468,0.000685100274156913,0.0101119,7,1
Heaviside,HFMn,40,40,0.0212036033712721,0.617343188692826,0.0339291,24,1
CrossingBeams,HFMn,40,40,0.234217404863984,6.13907357958271,0.225368,19,1
Gauss,HFMn,42,42,0.000291412660263454,0.000613143243231251,0.0223588,7,1
Heaviside,HFMn,42,42,0.020201042081493,0.617343188691823,0.0628077,24,1
